model	K	ic	params	epoch	loss
SmallUNet		64	703617	49	0.310994
SmallUNet		64	703617	50	0.308836
SmallUNet		128	2808065	1	1.882966
SmallUNet		128	2808065	2	1.281479
SmallUNet		128	2808065	3	1.138690
SmallUNet		128	2808065	4	0.562836
SmallUNet		128	2808065	5	0.444358
SmallUNet		128	2808065	6	0.411360
SmallUNet		128	2808065	7	0.400980
SmallUNet		128	2808065	8	0.392049
SmallUNet		128	2808065	9	0.377996
SmallUNet		128	2808065	10	0.373824
SmallUNet		128	2808065	11	0.370303
SmallUNet		128	2808065	12	0.363290
SmallUNet		128	2808065	13	0.365829
SmallUNet		128	2808065	14	0.350731
SmallUNet		128	2808065	15	0.348332
SmallUNet		128	2808065	16	0.345000
SmallUNet		128	2808065	17	0.339185
SmallUNet		128	2808065	18	0.332538
SmallUNet		128	2808065	19	0.331737
SmallUNet		128	2808065	20	0.331728
SmallUNet		128	2808065	21	0.327688
SmallUNet		128	2808065	22	0.322957
SmallUNet		128	2808065	23	0.326996
SmallUNet		128	2808065	24	0.327878
SmallUNet		128	2808065	25	0.321184
SmallUNet		128	2808065	26	0.328901
SmallUNet		128	2808065	27	0.318319
SmallUNet		128	2808065	28	0.321899
SmallUNet		128	2808065	29	0.319507
SmallUNet		128	2808065	30	0.321714
SmallUNet		128	2808065	31	0.323672
SmallUNet		128	2808065	32	0.318769
SmallUNet		128	2808065	33	0.316411
SmallUNet		128	2808065	34	0.318761
SmallUNet		128	2808065	35	0.313747
SmallUNet		128	2808065	36	0.318382
SmallUNet		128	2808065	37	0.315465
SmallUNet		128	2808065	38	0.316263
SmallUNet		128	2808065	39	0.313797
SmallUNet		128	2808065	40	0.314824
SmallUNet		128	2808065	41	0.313526
SmallUNet		128	2808065	42	0.313803
SmallUNet		128	2808065	43	0.311163
SmallUNet		128	2808065	44	0.314508
SmallUNet		128	2808065	45	0.310570
SmallUNet		128	2808065	46	0.306592
SmallUNet		128	2808065	47	0.310873
SmallUNet		128	2808065	48	0.313090
SmallUNet		128	2808065	49	0.307840
SmallUNet		128	2808065	50	0.313462
